model_type,train_time,best_nround,mse,gini,boosting_size,tree_type,metric,num_trees,batchsize,nrounds,hidden_size,wd,loss,device,early_stopping_rounds,depth,lr,stack_size
neurotrees,45.833076314,26,77.86794179546852,0.6417214610070238,1,stack,mse,64,4096,500,8,0.0,mse,gpu,3,3,0.001,2
neurotrees,32.840207907,40,78.07001696202812,0.6381314477533013,1,stack,mse,64,4096,500,16,0.0,mse,gpu,3,3,0.001,1
neurotrees,32.952090603,37,78.11977055460702,0.6375767902314168,1,stack,mse,32,4096,500,8,0.0,mse,gpu,3,4,0.001,1
neurotrees,28.376528239,36,78.24552258752483,0.6366538469616304,1,stack,mse,16,4096,500,8,0.0,mse,gpu,3,4,0.001,1
neurotrees,28.480769329,36,78.21425889573159,0.6366572247580669,1,stack,mse,16,4096,500,32,0.0,mse,gpu,3,4,0.001,1
neurotrees,58.841303631,29,79.16580580764197,0.6356284590394145,1,stack,mse,32,4096,500,16,0.0,mse,gpu,3,3,0.001,3
neurotrees,90.035908616,25,78.07296049889433,0.6431717101361326,1,stack,mse,16,4096,500,32,0.0,mse,gpu,3,5,0.001,2
neurotrees,27.016980072,38,78.74564891560696,0.6319820928613047,1,stack,mse,16,4096,500,16,0.0,mse,gpu,3,3,0.001,1
neurotrees,34.42984251,42,77.9150307090917,0.639540970452735,1,stack,mse,64,4096,500,32,0.0,mse,gpu,3,3,0.001,1
neurotrees,97.520909463,45,78.66789044206686,0.6366079723005118,1,stack,mse,16,4096,500,32,0.0,mse,gpu,3,3,0.001,3
neurotrees,270.198374062,20,78.5758405293065,0.6426081128196323,1,stack,mse,64,4096,500,8,0.0,mse,gpu,3,5,0.001,3
neurotrees,192.167460746,14,80.05967961519183,0.6246787768522705,1,stack,mse,32,4096,500,32,0.0,mse,gpu,3,5,0.001,3
neurotrees,85.96806132,19,77.38570071718067,0.6445839165099397,1,stack,mse,64,4096,500,16,0.0,mse,gpu,3,4,0.001,2
neurotrees,36.639624841,15,80.71354221610862,0.6204957593183154,1,stack,mse,16,4096,500,16,0.0,mse,gpu,3,4,0.001,3
neurotrees,30.464419546,28,78.33614110960025,0.6371455403130244,1,stack,mse,16,4096,500,16,0.0,mse,gpu,3,3,0.001,2
neurotrees,116.996129159,37,77.74471780616,0.6419616313416693,1,stack,mse,64,4096,500,8,0.0,mse,gpu,3,5,0.001,1
