model_type,train_time,best_nround,mse,gini,num_class,eval_metric,colsample_bytree,max_depth,lambda,eta,objective,tree_method,subsample,num_round,early_stopping_rounds,max_bin
xgboost,12.124403659,878,80.17492,0.6271429695011486,0,rmse,0.6,6,1,0.05,reg:squarederror,hist,0.4,2000,5,128
xgboost,26.685312087,655,80.04565,0.6268619990598305,0,rmse,0.8,10,10,0.05,reg:squarederror,hist,0.4,2000,5,128
xgboost,20.833158397,520,80.89504,0.6209723488852709,0,rmse,1.0,10,1,0.05,reg:squarederror,hist,0.4,2000,5,128
xgboost,13.297292936,1308,80.65152,0.623658243000277,0,rmse,1.0,4,1,0.05,reg:squarederror,hist,0.6,2000,5,128
xgboost,12.807283564,1275,80.758766,0.6234071113327736,0,rmse,1.0,4,1,0.05,reg:squarederror,hist,0.4,2000,5,128
xgboost,17.163921921,463,80.7923,0.6221732747822637,0,rmse,0.6,10,1,0.05,reg:squarederror,hist,0.4,2000,5,128
xgboost,17.620860843,1351,79.453606,0.6322560470380728,0,rmse,0.8,6,1,0.05,reg:squarederror,hist,0.8,2000,5,128
xgboost,18.452085878,1832,80.218666,0.6272994427669053,0,rmse,0.8,4,1,0.05,reg:squarederror,hist,0.8,2000,5,128
xgboost,30.505680571,713,80.104385,0.6248053188037169,0,rmse,1.0,10,10,0.05,reg:squarederror,hist,0.4,2000,5,128
xgboost,22.45273514,1676,79.28938,0.6334940204357905,0,rmse,0.8,6,10,0.05,reg:squarederror,hist,0.8,2000,5,128
xgboost,11.839680234,895,79.527145,0.6316631660540395,0,rmse,0.4,6,10,0.05,reg:squarederror,hist,0.8,2000,5,128
xgboost,26.896684826,704,80.23625,0.6265210087940719,0,rmse,0.6,10,1,0.05,reg:squarederror,hist,0.6,2000,5,128
xgboost,19.579298124,1503,79.32787,0.6343653658863911,0,rmse,0.4,6,1,0.05,reg:squarederror,hist,0.8,2000,5,128
xgboost,13.527143943,1263,80.76718,0.6232056077524886,0,rmse,1.0,4,10,0.05,reg:squarederror,hist,0.4,2000,5,128
xgboost,20.385166041,1002,79.16927,0.6338194664954313,0,rmse,0.6,8,10,0.05,reg:squarederror,hist,0.6,2000,5,128
xgboost,16.96480189,392,80.36425,0.6241633612847545,0,rmse,1.0,10,0,0.05,reg:squarederror,hist,0.8,2000,5,128
