model_type,hyper_id,train_time,best_nround,eval_mse,test_mse,eval_gini,test_gini
catboost,1,29.929951508,2026,0.6374309941742828,0.6307666923566261,0.6614744147746706,0.6585731476042282
catboost,2,31.433880367,1528,0.6407449434341518,0.6330569311304155,0.65912327061862,0.6569048824680795
catboost,3,35.95440301,1171,0.6362134711985122,0.6301132474624815,0.661407851858156,0.6574473800204459
catboost,4,21.718816031,1996,0.6511000753296321,0.6416343991809044,0.6554565978183956,0.6531335624767846
catboost,5,25.865686967,1436,0.6427150167021444,0.635604001803064,0.6586948081593135,0.655480603105864
catboost,6,34.764074602,2033,0.6410947421068345,0.6337663443818409,0.6604461769901425,0.6570365158521152
catboost,7,19.546964619,1646,0.6569112199252028,0.6490341850843724,0.6513365562140171,0.6485993362939066
catboost,8,64.777887151,1566,0.6289693223518242,0.6208750004049217,0.6652986170608511,0.6637050088284853
catboost,9,28.004901379,1264,0.6429961742290046,0.6346503068426231,0.658629490260498,0.6566081274885947
catboost,10,35.44905624,2454,0.6413572949710233,0.6322358302523886,0.6603549178876716,0.658608870717342
catboost,11,38.518372372,2085,0.6327911720818373,0.6269664772356365,0.6643803294601269,0.6609508749431066
catboost,12,35.515382947,1482,0.6337068162286156,0.6263577742546781,0.6633039539067447,0.6605462416172299
catboost,13,29.585425256,1998,0.6554113211088258,0.6461452038205998,0.6522971583610724,0.6503765577336993
catboost,14,24.343697942,1356,0.6461732533816488,0.635808017420563,0.6572478260867907,0.6559352747638033
catboost,15,30.424759786,1628,0.6446057269219231,0.6359524938271657,0.6575819784253714,0.6565301545207719
catboost,16,20.207899888,1577,0.6525308434779492,0.6448951214595027,0.6543791309125245,0.6510644346239254
