model_type,hyper_id,train_time,best_nround,eval_mse,test_mse,eval_gini,test_gini
neurotrees,1,121.528522741,52,0.6062225286979984,0.5982427919655199,0.6818714261668107,0.67989455641231
neurotrees,2,319.259781987,41,0.6050185188997722,0.5991714129842385,0.6823681776852093,0.6787349754612071
neurotrees,3,518.536330714,51,0.6004111923688391,0.5936912174498036,0.6826097940323166,0.6800084177969818
neurotrees,4,69.462973846,37,0.6101500144396289,0.6031004856047497,0.6818021456226422,0.6797106708133467
neurotrees,5,181.443375207,50,0.6053770148498143,0.6001951865184072,0.6824014076521431,0.6788824114344015
neurotrees,6,59.652028395,45,0.6120371513317237,0.6055106057450049,0.6800559007028341,0.6772043031238986
neurotrees,7,60.703548235,55,0.6131969822889466,0.6054565389603151,0.6792289163571152,0.6763474292377533
neurotrees,8,427.052359471,42,0.6039026885987677,0.5959438611333242,0.6822720946933062,0.6801949279032292
neurotrees,9,328.669297949,44,0.6045181810053059,0.5984242336368162,0.6833695465236107,0.6795623682827001
neurotrees,10,55.756765667,44,0.612683645786578,0.6043457584961571,0.6792787959645622,0.6772577918762097
neurotrees,11,203.149397596,39,0.6033954180930778,0.5979427010400522,0.6838058687337681,0.6806260599817141
neurotrees,12,229.438334037,48,0.6034686719518465,0.5977530137624099,0.6823326736528895,0.6792726097884915
neurotrees,13,54.622560183,28,0.6163429710868784,0.6098344428467334,0.6786311096839307,0.6754987709292383
neurotrees,14,121.519406862,51,0.6047021074334076,0.5994866981475407,0.6812487801863523,0.6772889583848031
neurotrees,15,115.489894427,49,0.6043805446966493,0.5994035165127041,0.6824136122044387,0.6788687925627492
neurotrees,16,114.352714252,46,0.6032569504856523,0.5972238476065536,0.6825872710858049,0.6795717659425816
