model_type,train_time,best_nround,mse,gini,gamma,L2,tree_type,metric,max_depth,lambda,min_weight,eta,rowsample,nbins,nrounds,loss,colsample,early_stopping_rounds
evotrees,22.379576575,392,80.219055,0.6269980709053308,0,1,binary,mse,9,0,1,0.1,1.0,128,2000,mse,0.4,5
evotrees,7.336422228,351,81.21873,0.6200690479849694,0,0,binary,mse,7,0,1,0.1,0.4,128,2000,mse,0.4,5
evotrees,12.892093209,917,80.85185,0.6241758277334135,0,0,binary,mse,5,0,1,0.1,0.6,128,2000,mse,0.8,5
evotrees,36.245486868,478,80.47926,0.6246349182617134,0,1,binary,mse,9,0,1,0.1,1.0,128,2000,mse,0.8,5
evotrees,27.82173085,1235,80.59578,0.6255148187189012,0,0,binary,mse,5,0,1,0.1,1.0,128,2000,mse,1.0,5
evotrees,5.141511825,729,81.25272,0.6205750255154672,0,0,binary,mse,5,0,1,0.1,0.4,128,2000,mse,0.4,5
evotrees,8.382591659,311,81.69156,0.6171035005929228,0,0,binary,mse,7,0,1,0.1,0.4,128,2000,mse,0.8,5
evotrees,11.520553645,664,80.843636,0.6219507702505348,0,1,binary,mse,5,0,1,0.1,0.6,128,2000,mse,1.0,5
evotrees,26.240201659,697,80.34244,0.6260460022573674,0,0,binary,mse,7,0,1,0.1,1.0,128,2000,mse,1.0,5
evotrees,39.102762953,464,81.11307,0.6221744087792382,0,1,binary,mse,9,0,1,0.1,0.8,128,2000,mse,1.0,5
evotrees,36.733877664,230,81.632454,0.6162063468693262,0,1,binary,mse,11,0,1,0.1,0.8,128,2000,mse,0.4,5
evotrees,5.496973304,621,81.4043,0.6187563402772375,0,1,binary,mse,5,0,1,0.1,0.4,128,2000,mse,0.6,5
evotrees,51.029966852,239,81.67831,0.6163499072502958,0,10,binary,mse,11,0,1,0.1,0.6,128,2000,mse,1.0,5
evotrees,7.889981694,378,81.08282,0.6216011996901656,0,10,binary,mse,7,0,1,0.1,0.4,128,2000,mse,0.4,5
evotrees,26.679312841,344,80.444115,0.6240906438654539,0,0,binary,mse,9,0,1,0.1,1.0,128,2000,mse,0.8,5
evotrees,22.625794742,811,79.84895,0.6302534891660103,0,10,binary,mse,7,0,1,0.1,1.0,128,2000,mse,0.4,5
