model_type,train_time,best_nround,mse,gini,feature_fraction,metric,max_depth,learning_rate,min_data_in_leaf,objective,num_iterations,early_stopping_round,lambda_l2,num_leaves,max_bin,bagging_fraction
lightgbm,5.168524617,747,80.43336880189237,0.6249822683969556,0.5,"[""mse""]",-1,0.1,20,mse,2000,5,10,32,128,0.9
lightgbm,7.425797593,851,80.33573048704893,0.6235726932077873,0.9,"[""mse""]",-1,0.1,20,mse,2000,5,10,32,128,0.9
lightgbm,36.44809138,348,82.48444349501479,0.6098659152641149,0.5,"[""mse""]",-1,0.1,20,mse,2000,5,1,2048,128,0.6
lightgbm,3.712417932,283,80.49378249575454,0.624114972447364,0.5,"[""mse""]",-1,0.1,20,mse,2000,5,1,128,128,0.6
lightgbm,121.320809129,957,81.3505461391777,0.6176892835705801,0.5,"[""mse""]",-1,0.1,20,mse,2000,5,10,2048,128,0.6
lightgbm,18.583135226,384,80.26841531500972,0.6247097973285738,0.5,"[""mse""]",-1,0.1,20,mse,2000,5,10,128,128,0.3
lightgbm,15.179519492,450,80.96471001375528,0.6218844404491971,0.9,"[""mse""]",-1,0.1,20,mse,2000,5,1,128,128,0.6
lightgbm,15.743323896,450,80.96471001375528,0.6218844404491971,0.9,"[""mse""]",-1,0.1,20,mse,2000,5,1,128,128,0.9
lightgbm,40.069190548,246,82.88393668511497,0.6078683614134176,0.5,"[""mse""]",-1,0.1,20,mse,2000,5,0,2048,128,0.6
lightgbm,10.245379513,283,80.49378249575454,0.624114972447364,0.5,"[""mse""]",-1,0.1,20,mse,2000,5,1,128,128,0.3
lightgbm,72.589110136,368,81.43631344261824,0.6161506641458988,0.9,"[""mse""]",-1,0.1,20,mse,2000,5,10,2048,128,0.6
lightgbm,19.224311504,851,80.33573048704893,0.6235726932077873,0.9,"[""mse""]",-1,0.1,20,mse,2000,5,10,32,128,0.6
lightgbm,20.523095812,298,81.1609772988545,0.6182968113776385,0.9,"[""mse""]",-1,0.1,20,mse,2000,5,0,512,128,0.9
lightgbm,21.995961552,398,81.65734785355683,0.6182479074847272,0.5,"[""mse""]",-1,0.1,20,mse,2000,5,0,512,128,0.6
lightgbm,72.42480417,368,81.43631344261753,0.6161506641458988,0.9,"[""mse""]",-1,0.1,20,mse,2000,5,10,2048,128,0.3
lightgbm,12.914293128,203,81.09663476336394,0.620634324426209,0.5,"[""mse""]",-1,0.1,20,mse,2000,5,1,512,128,0.6
