model_type,train_time,best_nround,mse,gini,ntrees,tree_type,metric,batchsize,nrounds,hidden_size,wd,loss,device,early_stopping_rounds,lr,depth,stack_size
neurotrees,39.010862248,37,78.27392116067095,0.6381726832240487,64,stack,mse,2048,200,8,0.0,mse,gpu,2,0.001,3,1
neurotrees,113.405681638,41,78.05651217076604,0.6422202985666957,128,stack,mse,2048,200,8,0.0,mse,gpu,2,0.001,4,1
neurotrees,61.911870321,33,77.8693018667086,0.6413722957384854,64,stack,mse,2048,200,8,0.0,mse,gpu,2,0.001,4,1
neurotrees,63.951280913,43,78.03966296208633,0.6403728564719675,128,stack,mse,2048,200,16,0.0,mse,gpu,2,0.001,3,1
neurotrees,62.71785406,42,78.11220484092972,0.6401956209190289,128,stack,mse,2048,200,32,0.0,mse,gpu,2,0.001,3,1
neurotrees,28.524560927,33,78.67070568317885,0.6337622275333883,32,stack,mse,2048,200,32,0.0,mse,gpu,2,0.001,3,1
neurotrees,114.339679785,32,78.01496279951975,0.640198200297393,64,stack,mse,2048,200,8,0.0,mse,gpu,2,0.001,5,1
neurotrees,101.183742149,28,77.36761838620133,0.645081459049441,64,stack,mse,2048,200,16,0.0,mse,gpu,2,0.001,5,1
neurotrees,34.034942865,30,78.24164948390948,0.6383797913137303,32,stack,mse,2048,200,8,0.0,mse,gpu,2,0.001,4,1
neurotrees,212.172513414,35,77.77300985096699,0.6431779371409754,128,stack,mse,2048,200,8,0.0,mse,gpu,2,0.001,5,1
neurotrees,37.669957273,36,78.08179845614511,0.6384114973004997,64,stack,mse,2048,200,32,0.0,mse,gpu,2,0.001,3,1
neurotrees,63.48292326,35,78.08296358313734,0.6403176826529201,64,stack,mse,2048,200,16,0.0,mse,gpu,2,0.001,4,1
neurotrees,209.026558148,35,77.6794309174188,0.644441526075945,128,stack,mse,2048,200,16,0.0,mse,gpu,2,0.001,5,1
neurotrees,53.426965104,26,77.76807768002415,0.6417089016077929,32,stack,mse,2048,200,32,0.0,mse,gpu,2,0.001,5,1
neurotrees,57.287606678,28,78.09972001867665,0.6399905592455366,32,stack,mse,2048,200,8,0.0,mse,gpu,2,0.001,5,1
neurotrees,105.087627555,39,77.8347035479228,0.6429521634829636,128,stack,mse,2048,200,32,0.0,mse,gpu,2,0.001,4,1
