model_type,train_time,best_nround,mse,gini,num_class,eval_metric,colsample_bytree,max_depth,lambda,eta,objective,tree_method,subsample,num_round,early_stopping_rounds,max_bin
xgboost,10.543066988,937,80.56275,0.6251138809387793,0,rmse,0.6,4,0,0.1,reg:squarederror,hist,0.8,2000,5,128
xgboost,9.897272535,489,80.53336,0.623884105918176,0,rmse,1.0,8,1,0.1,reg:squarederror,hist,1.0,2000,5,128
xgboost,11.199136044,291,81.07498,0.6192189923160452,0,rmse,0.4,10,0,0.1,reg:squarederror,hist,1.0,2000,5,128
xgboost,8.927816599,216,82.52746,0.611539083785225,0,rmse,0.8,10,0,0.1,reg:squarederror,hist,0.8,2000,5,128
xgboost,6.07444011,584,81.216736,0.6192860761105495,0,rmse,0.6,4,0,0.1,reg:squarederror,hist,0.4,2000,5,128
xgboost,11.157606943,1121,80.563515,0.6252991791336593,0,rmse,0.6,4,1,0.1,reg:squarederror,hist,1.0,2000,5,128
xgboost,8.066220881,755,80.87684,0.6230508200359957,0,rmse,1.0,4,1,0.1,reg:squarederror,hist,0.8,2000,5,128
xgboost,10.702765138,830,80.205246,0.6280794888853896,0,rmse,0.6,6,1,0.1,reg:squarederror,hist,1.0,2000,5,128
xgboost,6.14471237,580,81.30109,0.6192183139135639,0,rmse,1.0,4,0,0.1,reg:squarederror,hist,0.4,2000,5,128
xgboost,13.650721674,1265,80.377396,0.626481368382473,0,rmse,0.8,4,10,0.1,reg:squarederror,hist,1.0,2000,5,128
xgboost,9.172536471,902,80.71766,0.6239910868318875,0,rmse,0.8,4,10,0.1,reg:squarederror,hist,0.6,2000,5,128
xgboost,13.981688811,699,80.025444,0.627583217581648,0,rmse,1.0,8,10,0.1,reg:squarederror,hist,1.0,2000,5,128
xgboost,10.613974264,494,80.987015,0.6223973363727604,0,rmse,1.0,8,1,0.1,reg:squarederror,hist,0.8,2000,5,128
xgboost,7.921286707,575,80.72372,0.6236688779125978,0,rmse,0.4,6,10,0.1,reg:squarederror,hist,0.4,2000,5,128
xgboost,10.141506897,522,80.80408,0.6228472174130946,0,rmse,0.8,8,0,0.1,reg:squarederror,hist,1.0,2000,5,128
xgboost,9.378873822,718,80.12165,0.6267984174514983,0,rmse,1.0,6,10,0.1,reg:squarederror,hist,1.0,2000,5,128
