model_type,train_time,best_nround,mse,gini,eval_metric,max_depth,learning_rate,rsm,objective,subsample,border_count,iterations,early_stopping_rounds,reg_lambda
catboost,15.58603142,1999,78.55043202271534,0.6492462883118884,RMSE,4,0.1,1.0,RMSE,0.4,64,2000,10,10
catboost,31.691892876,1998,75.04271272165536,0.6647651692680379,RMSE,8,0.1,1.0,RMSE,0.6,64,2000,10,1
catboost,26.091659131,1999,76.55968548939373,0.6588427415748619,RMSE,6,0.1,0.4,RMSE,1.0,64,2000,10,1
catboost,28.622646073,1582,75.44651078394286,0.662733400374504,RMSE,8,0.1,1.0,RMSE,0.8,64,2000,10,0
catboost,27.311916987,1159,75.36653933739237,0.6619008719706839,RMSE,10,0.1,0.8,RMSE,0.4,64,2000,10,1
catboost,48.262443459,1249,74.73250015226076,0.6657172804981917,RMSE,10,0.1,1.0,RMSE,0.6,64,2000,10,1
catboost,35.301518889,1769,75.15847548758506,0.6641329358297327,RMSE,8,0.1,1.0,RMSE,1.0,64,2000,10,0
catboost,35.517644163,1739,75.40844251027644,0.6636903070268004,RMSE,8,0.1,0.4,RMSE,1.0,64,2000,10,1
catboost,22.568836275,1402,76.23284664089118,0.6593707366915443,RMSE,8,0.1,0.8,RMSE,0.4,64,2000,10,0
catboost,21.960863258,1670,76.92970851352729,0.656922171090235,RMSE,6,0.1,0.4,RMSE,1.0,64,2000,10,0
catboost,23.437077208,1429,75.86959236471053,0.6612914510627119,RMSE,8,0.1,0.4,RMSE,0.6,64,2000,10,1
catboost,18.02481798,1999,78.55622934481721,0.6492985580823234,RMSE,4,0.1,0.4,RMSE,0.8,64,2000,10,0
catboost,17.050638699,1999,76.86682831079125,0.657924454614623,RMSE,6,0.1,0.4,RMSE,0.4,64,2000,10,0
catboost,31.266740566,1999,76.558008278158,0.6589711889011969,RMSE,6,0.1,0.8,RMSE,0.8,64,2000,10,10
catboost,51.248509254,1999,73.90071521238197,0.6693947934002071,RMSE,10,0.1,1.0,RMSE,0.4,64,2000,10,10
catboost,35.091297072,1898,75.08075135066318,0.6650486427597829,RMSE,8,0.1,0.8,RMSE,0.6,64,2000,10,0
