model_type,train_time,best_nround,mse,gini,gamma,L2,tree_type,metric,max_depth,lambda,min_weight,eta,rowsample,nbins,nrounds,loss,colsample,early_stopping_rounds
evotrees,22.822428597,1554,77.91427,0.6521683423368706,0,10,binary,mse,5,0,1,0.1,0.4,128,2000,cred,0.8,10
evotrees,294.618111694,1201,74.66047,0.6592031745107654,0,10,binary,mse,11,0,1,0.1,0.8,128,2000,cred,1.0,10
evotrees,60.503705002,918,76.13338,0.6566984462855224,0,1,binary,mse,9,0,1,0.1,0.6,128,2000,cred,0.6,10
evotrees,38.085754724,1353,76.19917,0.6592307967471741,0,1,binary,mse,7,0,1,0.1,0.6,128,2000,cred,0.6,10
evotrees,44.918905041,680,77.472176,0.6478906003006957,0,1,binary,mse,9,0,1,0.1,0.4,128,2000,cred,0.8,10
evotrees,69.110241103,407,77.2883,0.6488697391200003,0,10,binary,mse,11,0,1,0.1,0.6,128,2000,cred,0.6,10
evotrees,23.512711615,2000,77.73809,0.6540700451281266,0,1,binary,mse,5,0,1,0.1,0.6,128,2000,cred,0.4,10
evotrees,63.302589306,1166,75.59662,0.6625059314199956,0,0,binary,mse,7,0,1,0.1,1.0,128,2000,cred,1.0,10
evotrees,41.677362896,1545,75.89956,0.6621952805881878,0,10,binary,mse,7,0,1,0.1,0.8,128,2000,cred,0.4,10
evotrees,32.036797322,1706,77.72825,0.6535852571917906,0,0,binary,mse,5,0,1,0.1,0.8,128,2000,cred,0.6,10
evotrees,154.817318902,1464,73.703606,0.6675582689917792,0,0,binary,mse,9,0,1,0.1,1.0,128,2000,cred,1.0,10
evotrees,65.916530856,869,75.823235,0.657295574884645,0,0,binary,mse,9,0,1,0.1,0.6,128,2000,cred,0.8,10
evotrees,106.379156101,1133,74.58195,0.6638828205160431,0,10,binary,mse,9,0,1,0.1,0.8,128,2000,cred,1.0,10
evotrees,40.172406451,1353,76.19917,0.6592307967471741,0,10,binary,mse,7,0,1,0.1,0.6,128,2000,cred,0.6,10
evotrees,37.991635617,1353,76.19917,0.6592307967471741,0,0,binary,mse,7,0,1,0.1,0.6,128,2000,cred,0.6,10
evotrees,422.377332105,1646,73.420074,0.6649956040445949,0,0,binary,mse,11,0,1,0.1,1.0,128,2000,cred,1.0,10
