model_type,train_time,best_nround,mse,gini,gamma,L2,tree_type,metric,max_depth,lambda,min_weight,eta,rowsample,nbins,nrounds,loss,colsample,early_stopping_rounds
evotrees,15.88524519,1384,78.215836,0.6505894202012962,0,1,binary,mse,5,0,1,0.1,0.6,128,6000,credV2A,0.4,10
evotrees,115.365303337,477,75.60491,0.6556830417328321,0,1,binary,mse,11,0,1,0.1,0.8,128,6000,credV2A,0.8,10
evotrees,34.449050996,1044,76.40182,0.6575550617989067,0,0,binary,mse,7,0,1,0.1,0.8,128,6000,credV2A,0.6,10
evotrees,31.586887502,157,79.51458,0.6365080555110596,0,1,binary,mse,11,0,1,0.1,0.4,128,6000,credV2A,0.6,10
evotrees,20.541196573,802,76.89772,0.6559609245098988,0,10,binary,mse,7,0,1,0.1,0.8,128,6000,credV2A,0.4,10
evotrees,83.199957447,479,76.15669,0.653337780049343,0,0,binary,mse,11,0,1,0.1,0.8,128,6000,credV2A,0.4,10
evotrees,12.146619035,381,78.6706,0.6456228136652744,0,1,binary,mse,7,0,1,0.1,0.4,128,6000,credV2A,0.8,10
evotrees,128.05327941,609,75.796455,0.6541098753521021,0,10,binary,mse,11,0,1,0.1,0.8,128,6000,credV2A,0.6,10
evotrees,79.731869059,299,77.27069,0.6458909772102114,0,10,binary,mse,11,0,1,0.1,0.6,128,6000,credV2A,1.0,10
evotrees,102.736247723,947,75.257866,0.6603328474707799,0,1,binary,mse,9,0,1,0.1,1.0,128,6000,credV2A,1.0,10
evotrees,28.228971193,1561,77.87697,0.6522554414466983,0,1,binary,mse,5,0,1,0.1,0.8,128,6000,credV2A,0.6,10
evotrees,63.04320164,643,76.419846,0.6541271887776156,0,0,binary,mse,9,0,1,0.1,0.6,128,6000,credV2A,1.0,10
evotrees,63.077730151,375,77.4353,0.6465317268467461,0,1,binary,mse,11,0,1,0.1,0.6,128,6000,credV2A,0.4,10
evotrees,16.772731419,646,77.79096,0.6495709047252539,0,10,binary,mse,7,0,1,0.1,0.4,128,6000,credV2A,0.6,10
evotrees,77.648527791,299,77.27069,0.6458909772102114,0,1,binary,mse,11,0,1,0.1,0.6,128,6000,credV2A,1.0,10
evotrees,51.878910617,1100,76.06045,0.6586160202439276,0,0,binary,mse,7,0,1,0.1,0.8,128,6000,credV2A,1.0,10
