model_type,train_time,best_nround,mse,gini,gamma,L2,tree_type,metric,max_depth,lambda,min_weight,eta,rowsample,nbins,nrounds,loss,colsample,early_stopping_rounds
evotrees,86.248591712,785,75.60416,0.6581589346345581,0,0,binary,mse,9,0,1,0.1,0.8,128,6000,credV2B,1.0,10
evotrees,112.508142256,474,76.60322,0.6501559058462513,0,10,binary,mse,11,0,1,0.1,0.8,128,6000,credV2B,0.8,10
evotrees,98.840404865,1168,74.328255,0.6651505317723425,0,1,binary,mse,9,0,1,0.1,1.0,128,6000,credV2B,0.6,10
evotrees,100.397517432,1550,74.505844,0.664085896659685,0,10,binary,mse,9,0,1,0.1,1.0,128,6000,credV2B,0.4,10
evotrees,142.54295229,837,76.551414,0.6507140829555612,0,1,binary,mse,11,0,1,0.1,0.8,128,6000,credV2B,0.4,10
evotrees,45.533670231,902,76.28316,0.658966428916613,0,10,binary,mse,7,0,1,0.1,0.8,128,6000,credV2B,1.0,10
evotrees,59.193538922,1434,75.37541,0.6638797674824143,0,0,binary,mse,7,0,1,0.1,1.0,128,6000,credV2B,0.6,10
evotrees,55.566588776,1905,77.12001,0.6568483795794959,0,1,binary,mse,5,0,1,0.1,1.0,128,6000,credV2B,0.8,10
evotrees,63.330261757,763,76.604416,0.6525086590547364,0,1,binary,mse,9,0,1,0.1,0.6,128,6000,credV2B,0.8,10
evotrees,50.698984865,740,76.76256,0.6524443552172345,0,1,binary,mse,9,0,1,0.1,0.6,128,6000,credV2B,0.6,10
evotrees,94.387763631,1714,74.79815,0.6655714566205743,0,1,binary,mse,7,0,1,0.1,1.0,128,6000,credV2B,1.0,10
evotrees,91.865560259,502,77.91801,0.6432560578459151,0,1,binary,mse,11,0,1,0.1,0.6,128,6000,credV2B,0.6,10
evotrees,61.648701032,763,76.604416,0.6525086590547364,0,10,binary,mse,9,0,1,0.1,0.6,128,6000,credV2B,0.8,10
evotrees,91.157381988,617,78.26424,0.6406994698954618,0,0,binary,mse,11,0,1,0.1,0.6,128,6000,credV2B,0.4,10
evotrees,45.157445496,832,76.90148,0.6512439682848044,0,10,binary,mse,9,0,1,0.1,0.6,128,6000,credV2B,0.4,10
evotrees,51.949705106,277,80.13404,0.6302668673563363,0,10,binary,mse,11,0,1,0.1,0.4,128,6000,credV2B,0.8,10
