model_type,train_time,best_nround,mse,gini,gamma,L2,tree_type,metric,max_depth,lambda,min_weight,eta,rowsample,nbins,nrounds,loss,colsample,early_stopping_rounds
evotrees,38.268013078,486,76.81399,0.6528826810376667,0,0,binary,mse,9,0,1,0.1,0.6,128,6000,cred_std,0.8,10
evotrees,36.242348784,2033,77.262924,0.6567374154522257,0,0,binary,mse,5,1,1,0.1,1.0,128,6000,cred_std,0.4,10
evotrees,67.036540426,739,76.696304,0.6511921855085242,0,0,binary,mse,9,1,1,0.1,0.6,128,6000,cred_std,1.0,10
evotrees,98.76056683,631,75.677925,0.657492160509597,0,0,binary,mse,11,0,1,0.1,1.0,128,6000,cred_std,0.4,10
evotrees,23.202795163,682,77.788414,0.64885726958147,0,0,binary,mse,7,0,1,0.1,0.4,128,6000,cred_std,1.0,10
evotrees,160.117243138,1017,75.25031,0.6584854461195351,0,0,binary,mse,11,1,1,0.1,1.0,128,6000,cred_std,0.4,10
evotrees,78.11876076,937,75.35524,0.6595096578689404,0,0,binary,mse,9,1,1,0.1,0.8,128,6000,cred_std,0.8,10
evotrees,29.742125901,580,76.8119,0.6528417994575678,0,0,binary,mse,9,0,1,0.1,0.6,128,6000,cred_std,0.4,10
evotrees,20.356268762,827,77.03462,0.6545278627367096,0,0,binary,mse,7,0,1,0.1,0.6,128,6000,cred_std,0.4,10
evotrees,19.346566839,836,77.17498,0.6542434078843026,0,0,binary,mse,7,1,1,0.1,0.6,128,6000,cred_std,0.4,10
evotrees,49.605788697,239,80.30856,0.6304907368015801,0,0,binary,mse,11,1,1,0.1,0.4,128,6000,cred_std,1.0,10
evotrees,77.03517992,1358,74.948586,0.6619343286282903,0,0,binary,mse,9,1,1,0.1,1.0,128,6000,cred_std,0.4,10
evotrees,22.047475246,141,79.94857,0.6331170552693685,0,0,binary,mse,11,0,1,0.1,0.4,128,6000,cred_std,0.4,10
evotrees,29.723567154,1670,77.42497,0.6546502318096626,0,0,binary,mse,5,1,1,0.1,0.6,128,6000,cred_std,0.8,10
evotrees,14.387142933,226,78.7371,0.6432604305725461,0,0,binary,mse,9,0,1,0.1,0.4,128,6000,cred_std,0.6,10
evotrees,26.107509599,1155,78.02965,0.6514847399374628,0,0,binary,mse,5,1,1,0.1,0.6,128,6000,cred_std,1.0,10
