model_type,train_time,best_nround,mse,gini,gamma,L2,tree_type,metric,max_depth,lambda,min_weight,eta,rowsample,nbins,nrounds,loss,colsample,early_stopping_rounds
evotrees,18.943887585,1424,78.522446,0.6494107118392162,0,10,binary,mse,5,0,1,0.1,0.4,128,6000,cred_var,0.8,10
evotrees,84.900789876,715,75.51249,0.659291339176873,0,10,binary,mse,11,0,1,0.1,0.8,128,6000,cred_var,1.0,10
evotrees,22.52788217,602,77.05374,0.6545351163776695,0,1,binary,mse,9,0,1,0.1,0.6,128,6000,cred_var,0.6,10
evotrees,18.159670041,874,77.48654,0.6539786001002226,0,1,binary,mse,7,0,1,0.1,0.6,128,6000,cred_var,0.6,10
evotrees,15.475524789,373,78.17424,0.6485017708857574,0,1,binary,mse,9,0,1,0.1,0.4,128,6000,cred_var,0.8,10
evotrees,37.730205756,516,76.46239,0.6555688669460081,0,10,binary,mse,11,0,1,0.1,0.6,128,6000,cred_var,0.6,10
evotrees,15.901704171,1530,78.484,0.6501165916450689,0,1,binary,mse,5,0,1,0.1,0.6,128,6000,cred_var,0.4,10
evotrees,46.073860828,1116,77.11576,0.6555867236636415,0,0,binary,mse,7,0,1,0.1,1.0,128,6000,cred_var,1.0,10
evotrees,19.672151647,1106,77.02264,0.6572469374639544,0,10,binary,mse,7,0,1,0.1,0.8,128,6000,cred_var,0.4,10
evotrees,33.936070739,2008,77.86508,0.6536400111518305,0,0,binary,mse,5,0,1,0.1,0.8,128,6000,cred_var,0.6,10
evotrees,58.225255247,895,76.42992,0.6566977147051928,0,0,binary,mse,9,0,1,0.1,1.0,128,6000,cred_var,1.0,10
evotrees,34.064950477,741,76.760605,0.6559738853570856,0,0,binary,mse,9,0,1,0.1,0.6,128,6000,cred_var,0.8,10
evotrees,63.134803194,1086,75.81178,0.6596221089494624,0,10,binary,mse,9,0,1,0.1,0.8,128,6000,cred_var,1.0,10
evotrees,21.780856812,1129,77.00385,0.6568179098556752,0,10,binary,mse,7,0,1,0.1,0.6,128,6000,cred_var,0.6,10
evotrees,17.891471022,930,77.516754,0.6540920908919018,0,0,binary,mse,7,0,1,0.1,0.6,128,6000,cred_var,0.6,10
evotrees,57.78369612,491,76.56441,0.6540787667887965,0,0,binary,mse,11,0,1,0.1,1.0,128,6000,cred_var,1.0,10
