model_type,train_time,best_nround,mse,gini,gamma,L2,tree_type,metric,max_depth,lambda,min_weight,eta,rowsample,nbins,nrounds,loss,colsample,early_stopping_rounds
evotrees,22.422942241,1428,78.45999,0.6482273752314666,0,10,binary,mse,5,0,1,0.1,0.4,128,6000,mae,0.8,25
evotrees,446.352405354,2523,74.930336,0.6551213076728382,0,10,binary,mse,11,0,1,0.1,0.8,128,6000,mae,1.0,25
evotrees,25.489562997,554,76.71604,0.6514525901131302,0,1,binary,mse,9,0,1,0.1,0.6,128,6000,mae,0.6,25
evotrees,19.761252021,767,77.1763,0.6527248398902173,0,1,binary,mse,7,0,1,0.1,0.6,128,6000,mae,0.6,25
evotrees,15.345102352,294,78.37767,0.6422126600934378,0,1,binary,mse,9,0,1,0.1,0.4,128,6000,mae,0.8,25
evotrees,54.092943695,550,76.55062,0.6468380919959495,0,10,binary,mse,11,0,1,0.1,0.6,128,6000,mae,0.6,25
evotrees,27.187252106,2293,77.601814,0.6531514700178112,0,1,binary,mse,5,0,1,0.1,0.6,128,6000,mae,0.4,25
evotrees,86.240963234,1692,75.160355,0.663103193978116,0,0,binary,mse,7,0,1,0.1,1.0,128,6000,mae,1.0,25
evotrees,35.018232589,1587,75.98891,0.6596586123993308,0,10,binary,mse,7,0,1,0.1,0.8,128,6000,mae,0.4,25
evotrees,61.377807288,2973,76.978226,0.6570694737528725,0,0,binary,mse,5,0,1,0.1,0.8,128,6000,mae,0.6,25
evotrees,115.290151606,1294,74.31279,0.6626687573668946,0,0,binary,mse,9,0,1,0.1,1.0,128,6000,mae,1.0,25
evotrees,32.347330584,544,76.941284,0.6491335988446699,0,0,binary,mse,9,0,1,0.1,0.6,128,6000,mae,0.8,25
evotrees,62.882171259,757,75.612404,0.656748982380224,0,10,binary,mse,9,0,1,0.1,0.8,128,6000,mae,1.0,25
evotrees,24.334727087,951,76.893654,0.6539058534529101,0,10,binary,mse,7,0,1,0.1,0.6,128,6000,mae,0.6,25
evotrees,21.371240863,830,76.898125,0.6547727704048371,0,0,binary,mse,7,0,1,0.1,0.6,128,6000,mae,0.6,25
evotrees,296.775124638,1660,74.25242,0.6598897333073394,0,0,binary,mse,11,0,1,0.1,1.0,128,6000,mae,1.0,25
