model_type,train_time,best_nround,mse,gini,gamma,L2,tree_type,metric,max_depth,lambda,min_weight,eta,rowsample,nbins,nrounds,loss,colsample,early_stopping_rounds
evotrees,13.992565352,1384,79.11386,0.6448141176897471,0,10,oblivious,mse,5,0,1,0.1,0.4,128,2000,mse,0.8,10
evotrees,173.520531346,1449,76.34404,0.6586872455476392,0,10,oblivious,mse,11,0,1,0.1,0.8,128,2000,mse,1.0,10
evotrees,76.150181978,1568,77.0,0.6555487357738234,0,1,oblivious,mse,9,0,1,0.1,0.6,128,2000,mse,0.6,10
evotrees,36.265183921,1500,77.43726,0.6534877016145738,0,1,oblivious,mse,7,0,1,0.1,0.6,128,2000,mse,0.6,10
evotrees,31.161458439,659,78.93769,0.6448430052480577,0,1,oblivious,mse,9,0,1,0.1,0.4,128,2000,mse,0.8,10
evotrees,141.757252761,1552,76.8053,0.6566617740674234,0,10,oblivious,mse,11,0,1,0.1,0.6,128,2000,mse,0.6,10
evotrees,14.942648879,1844,78.660576,0.6486074867776377,0,1,oblivious,mse,5,0,1,0.1,0.6,128,2000,mse,0.4,10
evotrees,71.158041551,1828,76.8123,0.6576981940138376,0,0,oblivious,mse,7,0,1,0.1,1.0,128,2000,mse,1.0,10
evotrees,46.931965285,2000,76.897385,0.6572213460593546,0,10,oblivious,mse,7,0,1,0.1,0.8,128,2000,mse,0.4,10
evotrees,27.130524197,2000,78.40648,0.6503300553497361,0,0,oblivious,mse,5,0,1,0.1,0.8,128,2000,mse,0.6,10
evotrees,141.536952355,2000,75.62344,0.6626628161303612,0,0,oblivious,mse,9,0,1,0.1,1.0,128,2000,mse,1.0,10
evotrees,73.943159072,1313,77.21608,0.6539874455410167,0,0,oblivious,mse,9,0,1,0.1,0.6,128,2000,mse,0.8,10
evotrees,102.813948323,1512,76.39066,0.6587913788132377,0,10,oblivious,mse,9,0,1,0.1,0.8,128,2000,mse,1.0,10
evotrees,31.564080419,1148,77.95438,0.6518552434232302,0,10,oblivious,mse,7,0,1,0.1,0.6,128,2000,mse,0.6,10
evotrees,24.997590099,963,78.497856,0.6488636135746522,0,0,oblivious,mse,7,0,1,0.1,0.6,128,2000,mse,0.6,10
evotrees,214.313058026,1829,75.94178,0.6605609518299276,0,0,oblivious,mse,11,0,1,0.1,1.0,128,2000,mse,1.0,10
