model_type,train_time,best_nround,mse,gini,gamma,L2,tree_type,metric,max_depth,lambda,min_weight,eta,rowsample,nbins,nrounds,loss,colsample,early_stopping_rounds
evotrees,16.455735973,1211,80.406265,0.6375213387949566,0,1,binary,mse,5,0,1,0.1,0.6,128,2000,mse,0.4,10
evotrees,106.58191222,351,78.288666,0.6450087818953048,0,1,binary,mse,11,0,1,0.1,0.8,128,2000,mse,0.8,10
evotrees,41.305287632,1112,78.49958,0.6466888996652999,0,0,binary,mse,7,0,1,0.1,0.8,128,2000,mse,0.6,10
evotrees,62.228313791,251,80.253716,0.6323999112627462,0,1,binary,mse,11,0,1,0.1,0.4,128,2000,mse,0.6,10
evotrees,39.275681493,1234,78.35339,0.648530780004109,0,10,binary,mse,7,0,1,0.1,0.8,128,2000,mse,0.4,10
evotrees,94.530550001,415,78.80756,0.6435294237165916,0,0,binary,mse,11,0,1,0.1,0.8,128,2000,mse,0.4,10
evotrees,21.210710927,604,79.75685,0.6384537092525063,0,1,binary,mse,7,0,1,0.1,0.4,128,2000,mse,0.8,10
evotrees,226.39833055,844,76.693214,0.6541829839567939,0,10,binary,mse,11,0,1,0.1,0.8,128,2000,mse,0.6,10
evotrees,166.186479705,516,77.98386,0.6469417996757392,0,10,binary,mse,11,0,1,0.1,0.6,128,2000,mse,1.0,10
evotrees,92.031459132,746,77.61085,0.6495516195724175,0,1,binary,mse,9,0,1,0.1,1.0,128,2000,mse,1.0,10
evotrees,28.665894282,1541,79.83511,0.64046338069202,0,1,binary,mse,5,0,1,0.1,0.8,128,2000,mse,0.6,10
evotrees,66.195058742,600,78.84229,0.6421297242265178,0,0,binary,mse,9,0,1,0.1,0.6,128,2000,mse,1.0,10
evotrees,77.471964046,346,79.31886,0.640225380792606,0,1,binary,mse,11,0,1,0.1,0.6,128,2000,mse,0.4,10
evotrees,24.912315297,791,79.551094,0.6404763458537087,0,10,binary,mse,7,0,1,0.1,0.4,128,2000,mse,0.6,10
evotrees,129.925823612,410,78.80598,0.6411028373603307,0,1,binary,mse,11,0,1,0.1,0.6,128,2000,mse,1.0,10
evotrees,38.763031675,809,78.891624,0.6434410365813669,0,0,binary,mse,7,0,1,0.1,0.8,128,2000,mse,1.0,10
