model_type,train_time,best_nround,mse,gini,gamma,L2,tree_type,metric,max_depth,lambda,min_weight,eta,rowsample,nbins,nrounds,loss,colsample,early_stopping_rounds
evotrees,4.939440153,505,78.3638,0.6464691655653114,0,0,binary,mse,7,0,1,0.1,0.4,128,2000,mse,0.4,10
evotrees,17.11943538,1280,78.0968,0.6499968142472703,0,10,binary,mse,5,0,1,0.1,0.8,128,2000,mse,0.8,10
evotrees,9.791357223,441,77.34022,0.6514780161843455,0,1,binary,mse,9,0,1,0.1,0.6,128,2000,mse,0.4,10
evotrees,15.297851281,397,77.5683,0.6473790784126614,0,0,binary,mse,9,0,1,0.1,0.6,128,2000,mse,0.8,10
evotrees,25.761833353,259,78.14739,0.640500619701613,0,10,binary,mse,11,0,1,0.1,0.4,128,2000,mse,1.0,10
evotrees,11.871941826,594,78.204056,0.6460057529275482,0,1,binary,mse,7,0,1,0.1,0.4,128,2000,mse,1.0,10
evotrees,16.247694099,421,77.26046,0.6495401028685716,0,1,binary,mse,9,0,1,0.1,0.6,128,2000,mse,0.8,10
evotrees,13.851725118,744,76.796234,0.6539621220544124,0,10,binary,mse,7,0,1,0.1,0.6,128,2000,mse,0.8,10
evotrees,9.152133598,263,78.761635,0.6415344171430342,0,0,binary,mse,9,0,1,0.1,0.4,128,2000,mse,0.8,10
evotrees,15.693509472,1418,78.13076,0.6495390121792716,0,0,binary,mse,5,0,1,0.1,0.6,128,2000,mse,0.8,10
evotrees,31.425971018,1662,77.704414,0.6523160990694065,0,10,binary,mse,5,0,1,0.1,1.0,128,2000,mse,1.0,10
evotrees,28.476897202,1218,76.02705,0.6589503863003775,0,1,binary,mse,7,0,1,0.1,1.0,128,2000,mse,0.8,10
evotrees,14.778213021,1314,78.10637,0.649711294131802,0,1,binary,mse,5,0,1,0.1,0.8,128,2000,mse,0.6,10
evotrees,22.740929914,1327,76.09941,0.6576870948113452,0,0,binary,mse,7,0,1,0.1,0.8,128,2000,mse,0.6,10
evotrees,39.214213328,319,76.057274,0.6537321546263658,0,1,binary,mse,11,0,1,0.1,1.0,128,2000,mse,1.0,10
evotrees,16.006986519,1189,78.08854,0.6492706324065841,0,0,binary,mse,5,0,1,0.1,0.6,128,2000,mse,1.0,10
