model_type,train_time,best_nround,mse,gini,feature_fraction,metric,max_depth,learning_rate,min_data_in_leaf,objective,num_iterations,early_stopping_round,lambda_l2,num_leaves,max_bin,bagging_fraction
lightgbm,163.305938202,1839,73.6598940925383,0.6714112455191289,0.4,"[""mse""]",-1,0.05,20,mse,2000,10,1,2048,64,0.6
lightgbm,186.189813075,1999,73.15079188198663,0.6748410816387396,0.4,"[""mse""]",-1,0.05,20,mse,2000,10,10,2048,64,0.8
lightgbm,48.232717211,1998,73.44006021237603,0.6719045433704396,0.4,"[""mse""]",-1,0.05,20,mse,2000,10,1,512,64,0.6
lightgbm,23.434905958,1650,74.54420436618494,0.6643792928772467,0.8,"[""mse""]",-1,0.05,20,mse,2000,10,10,128,64,1.0
lightgbm,311.438129132,2000,72.46508040254808,0.6771720178358217,0.6,"[""mse""]",-1,0.05,20,mse,2000,10,10,2048,64,0.6
lightgbm,22.906661797,2000,76.69918549483717,0.6538493840385764,1.0,"[""mse""]",-1,0.05,20,mse,2000,10,10,32,64,0.4
lightgbm,17.211533673,2000,76.78128502203126,0.6551015002977304,0.4,"[""mse""]",-1,0.05,20,mse,2000,10,10,32,64,0.8
lightgbm,177.392158437,1885,73.20072254903926,0.6719166560619714,0.6,"[""mse""]",-1,0.05,20,mse,2000,10,1,2048,64,1.0
lightgbm,13.761900808,1021,75.75871823547841,0.6601224694307793,0.4,"[""mse""]",-1,0.05,20,mse,2000,10,0,128,64,1.0
lightgbm,41.930490936,1479,73.03121254074841,0.6717202843190212,0.8,"[""mse""]",-1,0.05,20,mse,2000,10,1,512,64,1.0
lightgbm,17.733814784,1877,77.02039237102993,0.653050241668576,0.6,"[""mse""]",-1,0.05,20,mse,2000,10,0,32,64,0.8
lightgbm,21.329515967,2000,76.69918549483717,0.6538493840385764,1.0,"[""mse""]",-1,0.05,20,mse,2000,10,10,32,64,0.8
lightgbm,48.16833311,1899,72.87719197033624,0.6733337491518929,0.6,"[""mse""]",-1,0.05,20,mse,2000,10,1,512,64,0.6
lightgbm,25.007848419,1707,74.87766090422163,0.6621919527668715,1.0,"[""mse""]",-1,0.05,20,mse,2000,10,0,128,64,0.4
lightgbm,19.28841983,1478,74.77769900300997,0.6643466625933446,0.6,"[""mse""]",-1,0.05,20,mse,2000,10,1,128,64,0.4
lightgbm,177.022634814,1885,73.20072254903926,0.6719166560619714,0.6,"[""mse""]",-1,0.05,20,mse,2000,10,1,2048,64,0.4
