model_type,train_time,best_nround,mse,gini,stack_size,ntrees,metric,batchsize,nrounds,hidden_size,wd,actA,loss,init_scale,device,early_stopping_rounds,hyper_id,MLE_tree_split,lr,depth
neurotrees-gaussian,121.676255863,60,78.09464165450302,0.6590916865694659,1,128,gaussian_mle,2048,200,8,0.0,identity,gaussian_mle,0.0,gpu,2,1,true,0.001,3
neurotrees-gaussian,108.587527384,53,78.40358382192416,0.6567060953526667,1,128,gaussian_mle,2048,200,16,0.0,identity,gaussian_mle,0.0,gpu,2,2,true,0.001,3
neurotrees-gaussian,330.704617601,55,77.30674856465444,0.66375748821812,1,64,gaussian_mle,2048,200,8,0.0,identity,gaussian_mle,0.0,gpu,2,3,true,0.001,5
neurotrees-gaussian,171.229566889,67,77.4547214280075,0.6624379145976428,1,64,gaussian_mle,2048,200,8,0.0,identity,gaussian_mle,0.0,gpu,2,4,true,0.001,4
neurotrees-gaussian,155.238503097,52,77.51358444682126,0.6613901324735685,1,32,gaussian_mle,2048,200,32,0.0,identity,gaussian_mle,0.0,gpu,2,5,true,0.001,5
neurotrees-gaussian,76.34877443,76,78.01474018496538,0.659144753266083,1,32,gaussian_mle,2048,200,32,0.0,identity,gaussian_mle,0.0,gpu,2,6,true,0.001,3
neurotrees-gaussian,64.310958933,51,78.52119172127199,0.6549919195756687,1,32,gaussian_mle,2048,200,8,0.0,identity,gaussian_mle,0.0,gpu,2,7,true,0.001,4
neurotrees-gaussian,310.594750189,51,77.48041255625942,0.6627692618851481,1,64,gaussian_mle,2048,200,32,0.0,identity,gaussian_mle,0.0,gpu,2,8,true,0.001,5
neurotrees-gaussian,270.949500671,60,77.8257234580708,0.6611588112135006,1,128,gaussian_mle,2048,200,8,0.0,identity,gaussian_mle,0.0,gpu,2,9,true,0.001,4
neurotrees-gaussian,82.258300928,82,77.65195203778893,0.6602454712694044,1,32,gaussian_mle,2048,200,16,0.0,identity,gaussian_mle,0.0,gpu,2,10,true,0.001,3
neurotrees-gaussian,61.022005711,52,78.60951547681333,0.6549253357962395,1,64,gaussian_mle,2048,200,16,0.0,identity,gaussian_mle,0.0,gpu,2,11,true,0.001,3
neurotrees-gaussian,144.894733419,48,77.86533126196764,0.659864525013744,1,32,gaussian_mle,2048,200,8,0.0,identity,gaussian_mle,0.0,gpu,2,12,true,0.001,5
neurotrees-gaussian,249.385606102,55,78.17933662994844,0.6590363136250268,1,128,gaussian_mle,2048,200,32,0.0,identity,gaussian_mle,0.0,gpu,2,13,true,0.001,4
neurotrees-gaussian,513.568328491,44,77.86871386223004,0.660626225131795,1,128,gaussian_mle,2048,200,8,0.0,identity,gaussian_mle,0.0,gpu,2,14,true,0.001,5
neurotrees-gaussian,143.642567418,56,78.17170765051094,0.6586856457471267,1,64,gaussian_mle,2048,200,32,0.0,identity,gaussian_mle,0.0,gpu,2,15,true,0.001,4
neurotrees-gaussian,637.749421572,55,77.02256543626619,0.6645220940903015,1,128,gaussian_mle,2048,200,32,0.0,identity,gaussian_mle,0.0,gpu,2,16,true,0.001,5
