model_type,train_time,best_nround,mse,gini,arch_config,metric,batchsize,nrounds,wd,loss,device,early_stopping_rounds,hyper_id,arch_name,lr
neurotrees,10.759720874,15,73.1098543456349,0.6776427313646228,"Dict{Symbol, Any}(:proj_size => 4, :actA => ""identity"", :hidden_size => 16, :ntrees => 32, :init_scale => 0.0, :tree_type => :binary, :depth => 3, :stack_size => 1)",mse,2048,200,0.0,mse,gpu,2,1,NeuroTreeConfig,0.001
neurotrees,49.522174122,15,72.49530821685025,0.6797479128886158,"Dict{Symbol, Any}(:proj_size => 4, :actA => ""identity"", :hidden_size => 16, :ntrees => 128, :init_scale => 0.0, :tree_type => :binary, :depth => 5, :stack_size => 1)",mse,2048,200,0.0,mse,gpu,2,2,NeuroTreeConfig,0.001
neurotrees,35.576763207,16,71.66299457144278,0.6844391865600238,"Dict{Symbol, Any}(:proj_size => 4, :actA => ""identity"", :hidden_size => 16, :ntrees => 64, :init_scale => 0.0, :tree_type => :binary, :depth => 5, :stack_size => 1)",mse,2048,200,0.0,mse,gpu,2,3,NeuroTreeConfig,0.001
neurotrees,10.075680738,11,72.91286428128093,0.6784592919229425,"Dict{Symbol, Any}(:proj_size => 4, :actA => ""identity"", :hidden_size => 16, :ntrees => 64, :init_scale => 0.0, :tree_type => :binary, :depth => 3, :stack_size => 1)",mse,2048,200,0.0,mse,gpu,2,4,NeuroTreeConfig,0.001
neurotrees,10.571953377,14,73.13069192481328,0.6783224277994729,"Dict{Symbol, Any}(:proj_size => 4, :actA => ""identity"", :hidden_size => 32, :ntrees => 32, :init_scale => 0.0, :tree_type => :binary, :depth => 3, :stack_size => 1)",mse,2048,200,0.0,mse,gpu,2,5,NeuroTreeConfig,0.001
neurotrees,22.475168265,9,72.95042604206886,0.6789821424360551,"Dict{Symbol, Any}(:proj_size => 4, :actA => ""identity"", :hidden_size => 32, :ntrees => 128, :init_scale => 0.0, :tree_type => :binary, :depth => 4, :stack_size => 1)",mse,2048,200,0.0,mse,gpu,2,6,NeuroTreeConfig,0.001
neurotrees,34.374294654,23,73.08330120057167,0.678204611698794,"Dict{Symbol, Any}(:proj_size => 4, :actA => ""identity"", :hidden_size => 8, :ntrees => 32, :init_scale => 0.0, :tree_type => :binary, :depth => 5, :stack_size => 1)",mse,2048,200,0.0,mse,gpu,2,7,NeuroTreeConfig,0.001
neurotrees,15.559001889,16,73.40103488176973,0.6768918639971614,"Dict{Symbol, Any}(:proj_size => 4, :actA => ""identity"", :hidden_size => 16, :ntrees => 32, :init_scale => 0.0, :tree_type => :binary, :depth => 4, :stack_size => 1)",mse,2048,200,0.0,mse,gpu,2,8,NeuroTreeConfig,0.001
neurotrees,17.800553795,12,73.42616188401902,0.675664394518043,"Dict{Symbol, Any}(:proj_size => 4, :actA => ""identity"", :hidden_size => 32, :ntrees => 64, :init_scale => 0.0, :tree_type => :binary, :depth => 4, :stack_size => 1)",mse,2048,200,0.0,mse,gpu,2,9,NeuroTreeConfig,0.001
neurotrees,15.951003896,16,74.14411844771914,0.6728424770638988,"Dict{Symbol, Any}(:proj_size => 4, :actA => ""identity"", :hidden_size => 8, :ntrees => 32, :init_scale => 0.0, :tree_type => :binary, :depth => 4, :stack_size => 1)",mse,2048,200,0.0,mse,gpu,2,10,NeuroTreeConfig,0.001
neurotrees,27.84989252,11,72.61682708572508,0.6779356356452024,"Dict{Symbol, Any}(:proj_size => 4, :actA => ""identity"", :hidden_size => 16, :ntrees => 128, :init_scale => 0.0, :tree_type => :binary, :depth => 4, :stack_size => 1)",mse,2048,200,0.0,mse,gpu,2,11,NeuroTreeConfig,0.001
neurotrees,14.69296335,11,73.43108890804831,0.6746022386102746,"Dict{Symbol, Any}(:proj_size => 4, :actA => ""identity"", :hidden_size => 32, :ntrees => 128, :init_scale => 0.0, :tree_type => :binary, :depth => 3, :stack_size => 1)",mse,2048,200,0.0,mse,gpu,2,12,NeuroTreeConfig,0.001
neurotrees,27.749114861,11,72.93336462658594,0.678155569050041,"Dict{Symbol, Any}(:proj_size => 4, :actA => ""identity"", :hidden_size => 8, :ntrees => 128, :init_scale => 0.0, :tree_type => :binary, :depth => 4, :stack_size => 1)",mse,2048,200,0.0,mse,gpu,2,13,NeuroTreeConfig,0.001
neurotrees,42.510410899,17,73.88551170796123,0.6738860835461088,"Dict{Symbol, Any}(:proj_size => 4, :actA => ""identity"", :hidden_size => 32, :ntrees => 64, :init_scale => 0.0, :tree_type => :binary, :depth => 5, :stack_size => 1)",mse,2048,200,0.0,mse,gpu,2,14,NeuroTreeConfig,0.001
neurotrees,18.343344818,14,73.54449065780634,0.6747070623637146,"Dict{Symbol, Any}(:proj_size => 4, :actA => ""identity"", :hidden_size => 16, :ntrees => 64, :init_scale => 0.0, :tree_type => :binary, :depth => 4, :stack_size => 1)",mse,2048,200,0.0,mse,gpu,2,15,NeuroTreeConfig,0.001
neurotrees,69.783517747,14,72.18544341824709,0.6818936653485782,"Dict{Symbol, Any}(:proj_size => 4, :actA => ""identity"", :hidden_size => 32, :ntrees => 128, :init_scale => 0.0, :tree_type => :binary, :depth => 5, :stack_size => 1)",mse,2048,200,0.0,mse,gpu,2,16,NeuroTreeConfig,0.001
