model_type,train_time,best_nround,mse,gini,num_class,eval_metric,colsample_bytree,max_depth,lambda,eta,objective,tree_method,subsample,num_round,early_stopping_rounds,max_bin
xgboost,19.52329341,1639,77.63284,0.6522084239748248,0,rmse,0.8,4,0,0.1,reg:squarederror,hist,0.6,2000,10,64
xgboost,14.970129008,1053,76.1816,0.657496279392724,0,rmse,0.6,6,10,0.1,reg:squarederror,hist,0.8,2000,10,64
xgboost,13.344820639,1086,76.16405,0.6579718761835731,0,rmse,0.8,6,0,0.1,reg:squarederror,hist,0.8,2000,10,64
xgboost,7.955778987,628,77.88544,0.6474146850325924,0,rmse,0.8,6,1,0.1,reg:squarederror,hist,0.4,2000,10,64
xgboost,7.186647556,567,78.555145,0.6439894426007486,0,rmse,1.0,6,0,0.1,reg:squarederror,hist,0.4,2000,10,64
xgboost,14.712811026,1137,75.974365,0.6605035601594175,0,rmse,0.4,6,10,0.1,reg:squarederror,hist,1.0,2000,10,64
xgboost,5.353496382,158,80.71121,0.6287339463551871,0,rmse,0.6,10,0,0.1,reg:squarederror,hist,0.4,2000,10,64
xgboost,10.416876697,855,78.910034,0.6452343588360526,0,rmse,1.0,4,0,0.1,reg:squarederror,hist,0.6,2000,10,64
xgboost,18.405228531,572,75.841606,0.6533230827617905,0,rmse,1.0,10,1,0.1,reg:squarederror,hist,0.8,2000,10,64
xgboost,6.010767754,217,78.063515,0.6439409522501147,0,rmse,0.4,10,1,0.1,reg:squarederror,hist,0.6,2000,10,64
xgboost,8.386378243,866,78.97112,0.6451276963089664,0,rmse,0.6,4,10,0.1,reg:squarederror,hist,0.4,2000,10,64
xgboost,17.74937678,1877,77.20091,0.6553796362899758,0,rmse,0.8,4,0,0.1,reg:squarederror,hist,0.8,2000,10,64
xgboost,15.992647244,1344,75.659454,0.6603509547646247,0,rmse,0.8,6,1,0.1,reg:squarederror,hist,1.0,2000,10,64
xgboost,9.514223254,306,77.311325,0.6470907602799427,0,rmse,1.0,10,0,0.1,reg:squarederror,hist,0.8,2000,10,64
xgboost,16.578207763,1547,77.96829,0.6506102127489076,0,rmse,0.4,4,0,0.1,reg:squarederror,hist,0.6,2000,10,64
xgboost,12.049996592,533,76.485214,0.6521992610202086,0,rmse,1.0,8,1,0.1,reg:squarederror,hist,0.6,2000,10,64
