model_type,hyper_id,train_time,best_nround,eval_mse,test_mse,eval_gini,test_gini
neurotrees,1,33.799961655,22,0.6459246028453675,0.6346092128926637,0.660931339455804,0.6597522733449168
neurotrees,2,29.487066415,6,0.6729730575157155,0.6599318352366513,0.6430678917554132,0.643490260636303
neurotrees,3,45.383967843,14,0.6549473876635925,0.6425788504777122,0.6539655633149073,0.6542206796357055
neurotrees,4,24.834143377,19,0.6514096603505806,0.6395971105390762,0.6590428126527681,0.6585576399450446
neurotrees,5,31.741699415,18,0.6441600146385692,0.6344799375226997,0.6587724336529834,0.6571091897114876
neurotrees,6,14.832734377,6,0.6824579341015872,0.6703889479275644,0.6352013058888206,0.6345789218114911
neurotrees,7,13.315074602,7,0.676482316368127,0.665214260855483,0.6372523704654969,0.636513403924062
neurotrees,8,36.620930768,7,0.67311775365638,0.6605066638350784,0.6454424220790344,0.6456532136554379
neurotrees,9,39.135782029,13,0.6549472982891376,0.6439627491989798,0.6539490418785092,0.6536759980629647
neurotrees,10,52.601180873,18,0.662765408549169,0.6522093607843754,0.6452776215027969,0.6442354231161179
neurotrees,11,30.714013084,18,0.6457644559803194,0.6341308237275801,0.6585544224388828,0.6588125423681789
neurotrees,12,89.318900868,19,0.6320718194655229,0.6212376308191933,0.6652822307180386,0.6653045853851693
neurotrees,13,12.217823251,8,0.6751208590939597,0.6628690395502836,0.6353124166193901,0.635233454169478
neurotrees,14,30.786871375,11,0.6571816650272511,0.6450960247766656,0.6490650169272885,0.6495445892877628
neurotrees,15,32.19849201,12,0.667569864242323,0.6560087803597492,0.6439000718424014,0.6428961158116384
neurotrees,16,30.086105324,27,0.634356720480197,0.624037865343468,0.6646685389561595,0.6636635087464682
