model_type,hyper_id,train_time,best_nround,eval_mse,test_mse,eval_gini,test_gini
xgboost,1,14.10078082,757,0.6485086760561621,0.6421999434331702,0.6524029464043367,0.6486464043679562
xgboost,2,20.719560895,1148,0.6331612626166389,0.6265777720398853,0.6648634293971873,0.6605369771573947
xgboost,3,26.355412035,715,0.6347347412761134,0.6272448107331612,0.6600986739904396,0.657824344928933
xgboost,4,14.869354996,1164,0.6525389913196744,0.6450716368256562,0.6506604742799614,0.6475230992586598
xgboost,5,13.846418636,730,0.6499880301126271,0.644141798979647,0.6515555776046407,0.6464235782620537
xgboost,6,21.221070795,1446,0.6362095888033803,0.6282882915116721,0.6613141581955233,0.6584366446955178
xgboost,7,21.38278089,2025,0.6503296452610337,0.64155098237009,0.6542950093643694,0.651825128325823
xgboost,8,41.771969489,1097,0.6195936114107851,0.6141546643561424,0.6703253811766031,0.6662528879271046
xgboost,9,23.08793353,1329,0.6293818581324248,0.6221872957129146,0.6666547420166985,0.6635504136103444
xgboost,10,13.039800438,895,0.6488517839034051,0.639893417507535,0.6533301894218094,0.6512789770096193
xgboost,11,15.618693035,862,0.6444805675993884,0.6366665560694579,0.6572932329283094,0.6543726675492956
xgboost,12,27.794534859,792,0.6356858196503922,0.6293448212082698,0.6595105847696673,0.6568858039089349
xgboost,13,21.933373083,2107,0.6481014334920279,0.6385487170196171,0.6553743029392191,0.6530320826995057
xgboost,14,22.133015754,1567,0.6347738313252314,0.62628702685953,0.6629513232217856,0.6607121426055718
xgboost,15,27.780826808,1929,0.6300208057201445,0.6245897869193991,0.6650900743195852,0.6611738885850988
xgboost,16,24.511597954,2469,0.6497458140497147,0.6417290704436647,0.6548726043595862,0.6520102791737729
